winner,t1 odds,t2 odds,team1_previous_score,team2_previous_score,team1_hth,team2_hth,team1_R_average,team1_R_std,team1_ACS_average,team1_ACS_std,team1_K:D_average,team1_K:D_std,team1_KAST_average,team1_KAST_std,team1_ADR_average,team1_ADR_std,team1_KPR_average,team1_KPR_std,team1_APR_average,team1_APR_std,team1_FKPR_average,team1_FKPR_std,team1_FDPR_average,team1_FDPR_std,team1_HS%_average,team1_HS%_std,team1_CL%_average,team1_CL%_std,team1_CLSPR_average,team1_CLSPR_std,team1_CLAPR_average,team1_CLAPR_std,team1_DPR_average,team1_DPR_std,team2_R_average,team2_R_std,team2_ACS_average,team2_ACS_std,team2_K:D_average,team2_K:D_std,team2_KAST_average,team2_KAST_std,team2_ADR_average,team2_ADR_std,team2_KPR_average,team2_KPR_std,team2_APR_average,team2_APR_std,team2_FKPR_average,team2_FKPR_std,team2_FDPR_average,team2_FDPR_std,team2_HS%_average,team2_HS%_std,team2_CL%_average,team2_CL%_std,team2_CLSPR_average,team2_CLSPR_std,team2_CLAPR_average,team2_CLAPR_std,team2_DPR_average,team2_DPR_std,odds_diff,previous_score_diff,hth_diff
1,1.48,2.5,4,3,33.96666666666667,0.0,1.006,0.07829431652425357,198.88,27.480120087073857,0.9899999999999999,0.1646207763315433,72.6,3.9115214431215892,129.32,17.234181152581627,0.6839999999999999,0.10830512453249844,0.358,0.1344247001112519,0.096,0.07162401831787993,0.10600000000000001,0.05504543577809154,22.2,3.5637059362410923,19.8,5.215361924162119,0.021551724137931032,0.012191496227354269,0.11465517241379311,0.07086552974181866,0.693103448275862,0.05565187679854968,0.982,0.10733126291998996,197.88000000000002,25.981666613210173,0.974,0.13277801022759755,69.6,1.6733200530681511,129.44,14.257559398438428,0.6920000000000001,0.08348652585896722,0.304,0.0792464510246358,0.094,0.055946402922797456,0.10400000000000001,0.046151923036857306,29.4,4.722287581247038,15.4,7.569676347110225,0.016724738675958188,0.008318701314504058,0.11498257839721253,0.036874582732607526,0.7121951219512195,0.03749491582526719,-1.02,1,33.96666666666667
2,1.62,2.15,5,4,11.933333333333334,0.0,1.06,0.1301921656629154,203.82,39.58733383293197,1.0739999999999998,0.20292855885754474,72.6,4.098780306383839,135.51999999999998,26.167575355771877,0.728,0.14855975228843105,0.276,0.09370165420097983,0.11000000000000001,0.05244044240850758,0.088,0.02588435821108957,26.2,4.207136793592526,19.4,6.985699678629192,0.01834862385321101,0.007252930413230228,0.1,0.046031830107530654,0.6788990825688074,0.05378917155760812,1.0459999999999998,0.08384509526501832,204.84,33.43012114844934,1.0399999999999998,0.17930421077041103,73.6,3.361547262794322,132.07999999999998,21.12810923864225,0.708,0.13141537200799608,0.368,0.13663820841916804,0.1,0.06892024376045111,0.10000000000000002,0.06123724356957946,23.2,4.324349662087931,18.6,2.966479394838265,0.020578778135048232,0.011944807473316214,0.11189710610932475,0.05935067707345078,0.6810289389067523,0.055058147377502226,-0.5299999999999998,1,11.933333333333334
1,2.2,1.58,2,2,2.133333333333333,9.7,1.0539999999999998,0.3146903239694541,203.7,76.28859678877309,1.056,0.48293891953330914,71.6,1.6733200530681511,138.18,52.91712388253919,0.724,0.2850964748992874,0.29200000000000004,0.08757853618324526,0.10600000000000001,0.07765307463326872,0.092,0.07328028384224504,31.6,8.324662155306964,21.2,19.562719647329203,0.02553191489361702,0.02330734287256026,0.11063829787234043,0.017801277160299476,0.6978723404255318,0.04612656040144427,1.108,0.1573848785620779,205.74,50.06179181771263,1.118,0.23145193885556453,73.2,4.494441010848846,134.82,33.563998569896285,0.718,0.1564288975860918,0.256,0.061886993787063214,0.11000000000000001,0.02549509756796393,0.094,0.035071355833500364,28.8,6.870225614927067,26.2,42.22795282748147,0.0125,0.01307281291459493,0.096875,0.0822356085433798,0.640625,0.038273277230987154,0.6200000000000001,0,-7.566666666666666
1,1.72,2.0,3,3,5.666666666666668,3.466666666666665,0.99,0.12509996003196802,205.0,27.2649041810163,0.9640000000000001,0.15126136320951228,74.4,4.722287581247038,136.22000000000003,15.363821139286935,0.696,0.11928956366757322,0.42000000000000004,0.2035927307150233,0.094,0.05856620185738529,0.10800000000000001,0.049193495504995376,25.2,4.969909455915671,13.4,12.660963628413123,0.01702127659574468,0.01780127716029948,0.12340425531914893,0.038060731531911314,0.723404255319149,0.03980486581674407,0.9039999999999999,0.17938784797192922,186.0,41.3961350852951,0.892,0.2082546518087891,67.2,3.420526275297414,122.88000000000002,21.691519080046014,0.642,0.1556277610196844,0.30999999999999994,0.15165750888103102,0.09,0.0282842712474619,0.10999999999999999,0.03937003937005906,26.0,5.0990195135927845,6.8,9.311283477587823,0.009375,0.013975424859373685,0.1125,0.05111071010561289,0.71875,0.048159484398195125,-0.28,0,2.200000000000003
1,1.55,2.3,4,3,14.999999999999998,5.666666666666668,1.124,0.19552493447128422,222.0,41.20491475540266,1.208,0.25587106127891834,76.6,3.7815340802378072,150.38000000000002,25.133384173246544,0.784,0.17314733610425548,0.352,0.1700588133558505,0.098,0.04604345773288536,0.1,0.019999999999999997,31.0,6.670832032063167,9.4,14.51895313030523,0.013559322033898305,0.022098991204076775,0.0983050847457627,0.03674488709945559,0.6576271186440679,0.08251295894669886,1.0699999999999998,0.2701851217221259,205.6,71.19374972566061,1.096,0.48819053657358,77.0,4.636809247747852,140.33999999999997,48.627492224049554,0.7300000000000001,0.2919760264131287,0.264,0.12720062892926276,0.088,0.07661592523751182,0.11200000000000002,0.03898717737923586,32.4,9.016651263079881,10.0,14.815532390029054,0.00851063829787234,0.01165367143628013,0.0978723404255319,0.044120087985803656,0.676595744680851,0.04612656040144423,-0.7499999999999998,1,9.33333333333333
1,1.3,3.2,3,3,23.73333333333333,0.0,0.9940000000000001,0.11631852818876279,189.28000000000003,35.40207621030156,0.9480000000000001,0.15319921670818037,69.6,4.159326868617084,126.22,17.765331406984785,0.656,0.10310189135025603,0.316,0.04335896677735761,0.094,0.05128352561983234,0.10400000000000001,0.04505552130427524,26.0,6.324555320336759,16.2,9.959919678390985,0.013793103448275862,0.00514038615517193,0.10574712643678161,0.05415732868684942,0.6919540229885057,0.05883440869917114,0.844,0.046151923036857306,171.9,45.41943416644466,0.826,0.15709869509324387,68.6,8.473488065725943,113.24000000000001,28.210866700617338,0.584,0.15339491516996254,0.23399999999999999,0.1417039166713468,0.088,0.11166915420114902,0.11200000000000002,0.11798304963002101,25.6,4.33589667773576,0.0,0.0,0.0,0.0,0.10697674418604652,0.06064374330421069,0.7023255813953488,0.07053837622373532,-1.9000000000000001,0,23.73333333333333
1,2.8,1.38,2,4,0.0,4.199999999999999,0.95,0.10583005244258359,187.76,40.51305962279325,0.906,0.10714476188783102,70.4,3.1304951684997055,125.52000000000001,27.931648716106974,0.65,0.10630145812734647,0.27799999999999997,0.06610597552415363,0.092,0.019235384061671343,0.10400000000000001,0.04159326868617084,27.2,7.918333157931662,17.6,10.89954127475097,0.016326530612244896,0.009126808071427713,0.12448979591836735,0.07950020890115289,0.7163265306122449,0.03258922331157411,1.08,0.10839741694339398,209.07999999999998,14.954330476487407,1.096,0.19346834366376325,76.6,3.4351128074635335,136.18,12.068637039864939,0.73,0.0821583836257749,0.37,0.1489966442575134,0.10399999999999998,0.055946402922797456,0.096,0.029664793948382655,26.2,4.764451699828638,10.0,10.222524150130436,0.011214953271028037,0.012185425056453548,0.10654205607476634,0.010655845094384468,0.6747663551401869,0.06752296025491007,1.42,-2,-4.199999999999999
1,2.3,1.55,3,3,0.0,2.8000000000000007,0.966,0.07700649323271386,193.18,35.662893881456114,0.9520000000000002,0.13311649033834985,72.8,3.271085446759225,131.51999999999998,26.82036539646692,0.674,0.12033287165193057,0.29800000000000004,0.055407580708780255,0.1,0.040620192023179805,0.1,0.03464101615137754,27.6,4.8270073544588685,14.4,9.235799911215056,0.015028901734104044,0.008766329993123179,0.11907514450867052,0.05583348273314798,0.7098265895953757,0.047910672335496174,0.984,0.10714476188783102,190.24,29.183608412943048,0.9580000000000002,0.16238842323269226,68.8,4.147288270665545,126.57999999999997,17.118031428876396,0.664,0.09607288899580359,0.304,0.060663003552412394,0.094,0.03781534080237807,0.10800000000000001,0.035637059362410926,24.4,6.024948132556828,17.0,9.669539802906858,0.016216216216216217,0.007703888007426608,0.10810810810810811,0.034452834551302595,0.6972972972972973,0.04257292973519829,0.7499999999999998,0,-2.8000000000000007
2,1.72,2.0,2,2,0.0,1.8000000000000007,1.042,0.06418722614352491,198.82,28.57598642216923,1.034,0.08049844718999245,72.0,2.6457513110645907,130.33999999999997,18.94579108931585,0.696,0.08049844718999244,0.30200000000000005,0.08786353054595518,0.1,0.07968688725254613,0.098,0.05630275304103699,25.8,4.604345773288535,24.6,5.594640292279746,0.02484472049689441,0.00760711100243223,0.10559006211180125,0.039036661770113466,0.6757763975155279,0.06977563562724781,0.984,0.10714476188783102,190.24,29.183608412943048,0.9580000000000002,0.16238842323269226,68.8,4.147288270665545,126.57999999999997,17.118031428876396,0.664,0.09607288899580359,0.304,0.060663003552412394,0.094,0.03781534080237807,0.10800000000000001,0.035637059362410926,24.4,6.024948132556828,17.0,9.669539802906858,0.016216216216216217,0.007703888007426608,0.10810810810810811,0.034452834551302595,0.6972972972972973,0.04257292973519829,-0.28,0,-1.8000000000000007
1,2.2,1.58,4,2,1.833333333333334,0.0,0.966,0.07700649323271386,193.18,35.662893881456114,0.9520000000000002,0.13311649033834985,72.8,3.271085446759225,131.51999999999998,26.82036539646692,0.674,0.12033287165193057,0.29800000000000004,0.055407580708780255,0.1,0.040620192023179805,0.1,0.03464101615137754,27.6,4.8270073544588685,14.4,9.235799911215056,0.015028901734104044,0.008766329993123179,0.11907514450867052,0.05583348273314798,0.7098265895953757,0.047910672335496174,1.042,0.06418722614352491,198.82,28.57598642216923,1.034,0.08049844718999245,72.0,2.6457513110645907,130.33999999999997,18.94579108931585,0.696,0.08049844718999244,0.30200000000000005,0.08786353054595518,0.1,0.07968688725254613,0.098,0.05630275304103699,25.8,4.604345773288535,24.6,5.594640292279746,0.02484472049689441,0.00760711100243223,0.10559006211180125,0.039036661770113466,0.6757763975155279,0.06977563562724781,0.6200000000000001,2,1.833333333333334
